id,GenTauID,RecoTauID
32500,1,-11
32501,1,1
32510,3,2
32511,1,1
32520,2,-11
32521,11,11
32530,0,-20
32531,-13,-13
32540,2,2
32541,1,-11
32550,3,-2
32551,-13,-13
32560,0,0
32561,-11,-11
32570,-11,-11
32571,-13,-13
32580,-11,-2
32581,1,1
32590,-11,-11
32591,1,0
32600,-13,-13
32601,-11,-2
32610,2,2
32611,-13,-13
32620,10,10
32621,-11,-11
32630,-13,-13
32631,10,10
32640,2,2
32641,1,1
32650,11,11
32651,1,1
32660,2,3
32661,10,-2
32670,10,-2
32671,1,1
32680,10,10
32681,-13,-13
32690,1,1
32691,-13,-13
32700,-11,-11
32701,-11,-11
32710,-13,-13
32711,1,1
32720,-13,-13
32721,0,-20
32730,-13,-13
32731,10,-2
32740,-13,-13
32741,1,1
32750,1,1
32751,-13,-13
32760,1,-2
32761,-13,-2
32770,1,2
32771,1,1
32780,-11,-11
32781,10,-1
32790,1,2
32791,11,-2
32800,-11,-2
32801,2,2
32810,2,2
32811,1,1
32820,10,-20
32821,1,1
32830,-11,-11
32831,11,-2
32840,-13,-13
32841,-13,-13
32850,-13,-13
32851,-11,-11
32860,10,10
32861,-11,-11
32870,-11,-11
32871,1,1
32880,-11,1
32881,-13,-13
32890,0,0
32891,10,10
32900,11,1
32901,0,0
32910,-11,-11
32911,2,2
32920,1,-2
32921,-13,-13
32930,-11,-11
32931,2,-20
32940,2,2
32941,-13,-13
32950,-11,-11
32951,2,2
32960,0,0
32961,10,10
32970,2,1
32971,1,-2
32980,-11,-2
32981,-11,-11
32990,0,0
32991,-13,0
33000,11,11
33001,1,-11
33010,0,0
33011,-13,-13
33020,11,11
33021,1,1
33030,-13,-13
33031,-11,-11
33040,0,0
33041,-11,-2
33050,1,1
33051,-11,-11
33060,0,2
33061,-13,-13
33070,10,11
33071,2,2
33080,-13,-13
33081,-13,-13
33090,-13,0
33091,-11,-11
33100,0,1
33101,1,-11
33110,-13,-13
33111,11,-2
33120,0,0
33121,2,1
33130,1,0
33131,0,0
33140,-13,-13
33141,1,1
33150,10,10
33151,1,1
33160,2,-11
33161,2,2
33170,1,1
33171,-13,0
33180,2,2
33181,-13,-13
33190,-11,-11
33191,0,1
33200,1,1
33201,1,1
33210,1,0
33211,-13,-13
33220,0,0
33221,2,2
33230,2,-11
33231,-13,-13
33240,-11,-11
33241,1,1
33250,11,-2
33251,1,1
33260,-13,-13
33261,-13,-13
33270,-13,-13
33271,-11,-11
33280,-13,-13
33281,0,0
33290,0,-2
33291,-11,-11
33300,1,1
33301,-11,-11
33310,0,-20
33311,1,1
33320,-11,-11
33321,-11,-11
33330,-11,-11
33331,-11,-11
33340,2,4
33341,2,2
33350,-13,-13
33351,11,11
33360,-11,0
33361,-13,-13
33370,-13,-13
33371,0,-20
33380,-11,-11
33381,1,1
33390,1,1
33391,0,1
33400,1,1
33401,1,1
33410,-13,-13
33411,1,2
33420,-13,-13
33421,-13,-2
33430,-11,-11
33431,-11,-11
33440,-11,-11
33441,1,1
33450,2,2
33451,10,-2
33460,-13,-13
33461,1,-11
33470,1,1
33471,-13,-13
33480,1,1
33481,10,0
33490,-11,-11
33491,-11,-11
33500,-13,-13
33501,-13,-2
33510,2,2
33511,10,10
33520,-13,-13
33521,1,1
33530,-13,-13
33531,1,-2
33540,-11,-11
33541,1,1
33550,2,-11
33551,2,-2
33560,1,1
33561,10,10
33570,-11,-2
33571,-11,-11
33580,-13,-13
33581,2,2
33590,0,0
33591,2,2
33600,-11,-2
33601,-13,-2
33610,11,-20
33611,2,2
33620,1,1
33621,10,10
33630,2,2
33631,1,1
33640,10,10
33641,0,-20
33650,0,0
33651,-11,-11
33660,1,-13
33661,10,-20
33670,-11,-11
33671,0,0
33680,-11,-11
33681,2,2
33690,-13,-13
33691,2,2
33700,0,0
33701,-1,-2
33710,1,1
33711,1,-11
33720,-13,-13
33721,-13,-13
33730,2,1
33731,-13,-13
33740,0,0
33741,-13,-13
33750,10,10
33751,11,11
33760,-11,-2
33761,1,2
33770,1,1
33771,-11,-11
33780,11,12
33781,1,1
33790,3,-11
33791,2,2
33800,11,11
33801,-11,-2
33810,1,1
33811,-13,-13
33820,-13,0
33821,-13,-13
33830,-13,-13
33831,2,3
33840,0,0
33841,-11,-2
33850,2,4
33851,-13,-13
33860,11,-2
33861,10,10
33870,0,1
33871,1,1
33880,10,13
33881,-11,-11
33890,-13,-13
33891,-13,-13
33900,10,10
33901,-11,-11
33910,1,-11
33911,-13,-13
33920,2,2
33921,11,-11
33930,1,1
33931,10,10
33940,-11,-11
33941,2,2
33950,0,0
33951,0,0
33960,1,1
33961,10,11
33970,1,1
33971,0,0
33980,-13,-13
33981,0,0
33990,-13,-13
33991,-11,-11
34000,1,1
34001,10,10
34010,1,1
34011,1,1
34020,-11,-11
34021,1,1
34030,2,2
34031,10,10
34040,10,-2
34041,1,1
34050,1,1
34051,-13,-13
34060,-13,-13
34061,1,-20
34070,10,10
34071,-11,-11
34080,1,1
34081,-11,-11
34090,0,0
34091,-11,-11
34100,-13,-13
34101,0,-20
34110,-13,-13
34111,-13,-13
34120,10,11
34121,1,1
34130,0,0
34131,10,10
34140,1,1
34141,1,1
34150,-11,-11
34151,10,-2
34160,-13,-13
34161,10,-2
34170,10,10
34171,-11,-2
34180,1,1
34181,-11,-11
34190,-13,-13
34191,1,1
34200,-11,-11
34201,1,1
34210,-11,-11
34211,-13,-13
34220,-13,-13
34221,10,10
34230,2,2
34231,2,-20
34240,-11,-11
34241,1,1
34250,-13,-13
34251,10,2
34260,1,2
34261,1,3
34270,1,-11
34271,0,0
34280,0,0
34281,-11,-11
34290,-13,-13
34291,0,1
34300,2,2
34301,10,-2
34310,1,1
34311,10,-2
34320,1,1
34321,-13,-13
34330,-13,-13
34331,-13,-13
34340,2,2
34341,1,1
34350,2,3
34351,-13,-13
34360,-11,-11
34361,-11,1
34370,-11,-11
34371,-13,-13
34380,1,1
34381,0,0
34390,-11,-11
34391,1,1
34400,2,2
34401,-13,-13
34410,-13,-13
34411,2,2
34420,1,4
34421,-11,-11
34430,1,1
34431,-11,-11
34440,1,1
34441,-13,-13
34450,1,1
34451,1,1
34460,11,11
34461,11,-2
34470,2,-2
34471,10,-2
34480,-11,-11
34481,2,-20
34490,10,-20
34491,-11,-11
34500,-11,-11
34501,1,11
34510,0,0
34511,-13,-13
34520,0,0
34521,0,0
34530,1,1
34531,10,-20
34540,2,2
34541,0,-2
34550,10,-2
34551,-13,-2
34560,1,1
34561,-13,-2
34570,0,0
34571,-13,-13
34580,-11,-11
34581,-11,-11
34590,0,0
34591,-11,1
34600,0,-20
34601,-13,0
34610,1,1
34611,0,0
34620,-11,-2
34621,-11,-11
34630,11,11
34631,10,10
34640,1,1
34641,10,10
34650,11,12
34651,-13,-13
34660,-13,-13
34661,11,11
34670,0,0
34671,1,1
34680,-11,-11
34681,-11,-2
34690,-11,-2
34691,0,2
34700,10,10
34701,2,3
34710,1,1
34711,10,10
34720,0,0
34721,10,-2
34730,1,1
34731,2,2
34740,-11,-11
34741,1,-20
34750,0,1
34751,-11,-11
34760,1,1
34761,0,0
34770,10,-2
34771,-11,-2
34780,1,-2
34781,10,-2
34790,0,-11
34791,3,2
34800,10,10
34801,-11,-11
34810,-11,-11
34811,-11,-11
34820,1,1
34821,1,-2
34830,2,2
34831,2,2
34840,11,-11
34841,1,1
34850,-11,-11
34851,-13,-13
34860,11,-11
34861,10,10
34870,2,1
34871,11,11
34880,1,1
34881,-13,0
34890,1,3
34891,-13,-13
34900,1,0
34901,0,-20
34910,1,1
34911,-13,-13
34920,2,-2
34921,2,2
34930,-11,-11
34931,1,1
34940,0,-2
34941,1,1
34950,1,2
34951,1,-20
34960,-13,-13
34961,1,1
34970,-13,-2
34971,10,-2
34980,1,1
34981,1,1
34990,-11,-11
34991,1,1
35000,2,-11
35001,1,1
35010,2,2
35011,-13,-13
35020,0,-2
35021,1,1
35030,11,11
35031,-11,-11
35040,1,2
35041,2,3
35050,-11,-11
35051,1,1
35060,-11,-11
35061,-11,-11
35070,1,-11
35071,-11,-11
35080,-13,-13
35081,-13,-13
35090,1,1
35091,2,-20
35100,-11,-11
35101,11,12
35110,-11,-2
35111,0,-2
35120,-11,-11
35121,-13,0
35130,1,-11
35131,-13,-13
35140,1,-2
35141,2,3
35150,-13,-13
35151,0,1
35160,11,11
35161,1,1
35170,10,-20
35171,10,-20
35180,-13,-2
35181,1,0
35190,2,2
35191,0,0
35200,1,1
35201,-11,-11
35210,-11,-11
35211,2,2
35220,-11,-2
35221,-11,-11
35230,10,10
35231,0,0
35240,-11,-11
35241,11,11
35250,-13,0
35251,0,-20
35260,1,1
35261,10,10
35270,-13,-13
35271,1,1
35280,2,2
35281,12,11
35290,10,-2
35291,-11,-1
35300,1,1
35301,-11,-11
35310,1,1
35311,1,1
35320,11,11
35321,-13,-13
35330,-11,-11
35331,0,0
35340,11,-11
35341,-11,-11
35350,-11,-11
35351,1,1
35360,10,0
35361,11,-2
35370,1,1
35371,10,10
35380,10,-2
35381,1,2
35390,1,2
35391,1,1
35400,-13,0
35401,-11,-11
35410,0,0
35411,0,0
35420,0,0
35421,2,-11
35430,10,10
35431,-13,-13
35440,1,1
35441,10,-20
35450,-13,-13
35451,-11,-11
35460,1,1
35461,1,1
35470,1,1
35471,1,1
35480,10,10
35481,10,10
35490,-13,-13
35491,-13,-13
35500,1,1
35501,-11,-11
35510,-11,-11
35511,0,-20
35520,1,1
35521,1,2
35530,-13,-2
35531,2,-20
35540,1,1
35541,1,-11
35550,11,11
35551,2,2
35560,0,0
35561,11,11
35570,1,2
35571,10,-1
35580,0,-2
35581,-13,1
35590,0,-2
35591,-13,-2
35600,-11,-11
35601,0,0
35610,-13,0
35611,1,1
35620,1,1
35621,1,1
35630,10,-2
35631,-11,-11
35640,-13,-13
35641,-13,-13
35650,-11,-11
35651,0,0
35660,-11,-11
35661,2,2
35670,1,1
35671,10,-20
35680,1,1
35681,-13,-13
35690,1,-2
35691,10,-11
35700,2,1
35701,1,1
35710,2,2
35711,10,10
35720,2,3
35721,11,-11
35730,1,1
35731,11,-2
35740,12,-20
35741,-13,-2
35750,11,-13
35751,10,10
35760,2,2
35761,-11,-11
35770,1,1
35771,1,1
35780,2,2
35781,0,0
35790,-11,-11
35791,1,0
35800,1,1
35801,-11,-11
35810,0,0
35811,3,2
35820,1,1
35821,0,2
35830,-11,-11
35831,-13,-13
35840,2,2
35841,0,-20
35850,11,-20
35851,-13,-13
35860,0,0
35861,-11,-11
35870,3,-11
35871,2,-13
35880,1,1
35881,10,-2
35890,1,1
35891,1,1
35900,10,10
35901,-11,-11
35910,-13,-13
35911,-13,0
35920,1,1
35921,-11,1
35930,-13,-13
35931,-13,-13
35940,0,0
35941,-13,-13
35950,10,10
35951,-13,-13
35960,-11,-11
35961,1,-11
35970,-11,-2
35971,-13,-2
35980,1,1
35981,1,0
35990,-11,-11
35991,10,10
36000,1,1
36001,10,10
36010,-11,-11
36011,-11,-11
36020,1,1
36021,1,1
36030,10,10
36031,-13,-13
36040,-13,-2
36041,1,1
36050,2,1
36051,2,2
36060,2,2
36061,1,1
36070,0,0
36071,10,10
36080,1,1
36081,2,2
36090,-11,-11
36091,2,2
36100,0,0
36101,1,1
36110,10,10
36111,3,3
36120,10,-2
36121,-11,1
36130,-13,-13
36131,1,1
36140,-13,-13
36141,1,1
36150,0,0
36151,1,1
36160,-13,-11
36161,10,-2
36170,-13,-13
36171,0,0
36180,-13,-13
36181,1,1
36190,0,-11
36191,1,0
36200,1,1
36201,-13,-13
36210,1,1
36211,-11,-11
36220,1,-11
36221,1,1
36230,-13,-13
36231,2,-2
36240,1,1
36241,11,11
36250,-13,-13
36251,1,2
36260,0,0
36261,2,2
36270,10,10
36271,-13,0
36280,-11,-11
36281,11,-20
36290,10,10
36291,2,2
36300,1,-11
36301,3,1
36310,0,0
36311,-13,-13
36320,2,-20
36321,2,5
36330,0,-2
36331,2,2
36340,0,0
36341,10,-2
36350,-11,-11
36351,-13,0
36360,-13,-13
36361,-13,-13
36370,-11,-11
36371,11,-2
36380,-13,-13
36381,1,1
36390,-11,-11
36391,-13,-13
36400,1,-20
36401,0,0
36410,-11,-11
36411,1,-2
36420,10,10
36421,-13,-13
36430,-11,-11
36431,1,-2
36440,1,1
36441,-11,-11
36450,1,1
36451,1,-2
36460,1,1
36461,-13,-13
36470,-11,-11
36471,1,1
36480,0,-2
36481,-13,-13
36490,-13,0
36491,2,2
36500,1,1
36501,-11,-11
36510,11,-2
36511,10,-20
36520,11,-2
36521,-13,-13
36530,10,10
36531,2,-20
36540,2,2
36541,1,1
36550,1,1
36551,-13,-13
36560,0,0
36561,10,-13
36570,-11,-11
36571,-13,-13
36580,2,1
36581,1,1
36590,11,-20
36591,-13,-2
36600,2,2
36601,-11,-11
36610,1,1
36611,0,1
36620,2,2
36621,1,2
36630,1,2
36631,-13,-13
36640,1,1
36641,12,12
36650,-13,-13
36651,0,0
36660,-13,-13
36661,1,1
36670,1,1
36671,2,-11
36680,-11,-2
36681,1,1
36690,2,2
36691,2,1
36700,-11,-11
36701,-13,-13
36710,10,-2
36711,1,-20
36720,-13,-13
36721,-13,-13
36730,1,-2
36731,11,-20
36740,10,-11
36741,-13,-13
36750,0,0
36751,-13,-13
36760,1,1
36761,-11,-11
36770,1,1
36771,1,1
36780,-13,-13
36781,2,2
36790,2,2
36791,-11,-11
36800,1,-13
36801,1,1
36810,10,10
36811,2,1
36820,-11,-11
36821,0,0
36830,1,1
36831,0,0
36840,-13,-13
36841,10,-2
36850,1,1
36851,2,-11
36860,-11,-2
36861,1,1
36870,-13,-13
36871,-13,-13
36880,11,-2
36881,-13,-2
36890,10,10
36891,-11,-11
36900,-11,-11
36901,1,2
36910,-11,-11
36911,0,-2
36920,-13,-13
36921,11,11
36930,2,2
36931,1,-2
36940,2,2
36941,10,10
36950,1,1
36951,-11,-11
36960,-13,-13
36961,-13,-13
36970,-11,-11
36971,0,0
36980,0,2
36981,1,-2
36990,10,10
36991,-13,-13
37000,1,1
37001,2,2
37010,-11,-2
37011,2,2
37020,-13,-13
37021,2,2
37030,10,-11
37031,-13,-13
37040,10,10
37041,1,1
37050,1,1
37051,-13,-13
37060,1,1
37061,1,1
37070,1,1
37071,1,1
37080,1,1
37081,-11,-11
37090,-11,-11
37091,-13,-13
37100,2,2
37101,2,2
37110,10,-2
37111,1,1
37120,1,1
37121,1,1
37130,2,-2
37131,2,-2
37140,12,-20
37141,-11,-11
37150,-13,-13
37151,-13,-13
37160,-13,-13
37161,-13,-2
37170,2,1
37171,2,-20
37180,-13,-13
37181,11,-20
37190,0,-2
37191,1,1
37200,1,1
37201,11,-2
37210,0,0
37211,-11,-11
37220,-11,-11
37221,-11,-11
37230,-11,-11
37231,1,1
37240,1,1
37241,-13,-13
37250,2,-2
37251,-13,-13
37260,-13,-13
37261,0,0
37270,10,-2
37271,-11,-2
37280,0,0
37281,1,1
37290,-13,-13
37291,-13,-13
37300,1,-2
37301,1,-2
37310,0,0
37311,0,0
37320,-11,1
37321,-11,-11
37330,1,1
37331,10,-2
37340,0,1
37341,0,0
37350,-13,-13
37351,0,0
37360,3,3
37361,1,1
37370,-13,-13
37371,10,10
37380,1,1
37381,1,1
37390,-11,-11
37391,10,-2
37400,-13,-13
37401,1,2
37410,2,1
37411,1,1
37420,-11,-2
37421,2,2
37430,1,1
37431,1,-2
37440,-11,-11
37441,-11,-2
37450,2,1
37451,-11,-11
37460,0,0
37461,11,-20
37470,-13,-13
37471,1,1
37480,1,1
37481,-13,-13
37490,1,1
37491,1,-11
37500,2,1
37501,1,1
37510,1,1
37511,2,2
37520,11,11
37521,1,1
37530,-13,-13
37531,0,0
37540,-13,-13
37541,-11,-11
37550,10,-2
37551,0,0
37560,0,0
37561,1,1
37570,10,10
37571,3,3
37580,0,0
37581,-13,-13
37590,-11,-11
37591,-13,-13
37600,1,1
37601,10,-2
37610,-11,-2
37611,-11,-2
37620,2,2
37621,1,2
37630,-13,0
37631,10,-2
37640,1,-20
37641,-11,-11
37650,-1,-2
37651,10,-2
37660,0,-2
37661,-13,-13
37670,1,1
37671,0,0
37680,0,0
37681,11,11
37690,2,2
37691,-13,0
37700,10,10
37701,1,-11
37710,10,10
37711,10,11
37720,2,3
37721,-11,-11
37730,-11,-2
37731,1,1
37740,1,1
37741,-13,-13
37750,-13,0
37751,1,-11
37760,-11,-11
37761,1,1
37770,-13,-13
37771,11,11
37780,11,-2
37781,0,0
37790,1,1
37791,-13,-13
37800,-13,-13
37801,1,1
37810,1,1
37811,2,2
37820,2,-20
37821,-13,-13
37830,-13,-13
37831,10,-20
37840,0,0
37841,2,2
37850,11,-1
37851,-11,-11
37860,-11,-11
37861,10,-1
37870,10,-2
37871,10,-2
37880,-13,-13
37881,0,0
37890,1,1
37891,3,2
37900,10,-2
37901,10,-2
37910,1,1
37911,-11,-2
37920,1,1
37921,-11,-11
37930,1,2
37931,1,1
37940,2,2
37941,1,1
37950,-13,-13
37951,-13,-13
37960,1,2
37961,1,1
37970,-13,-13
37971,1,2
37980,-11,-11
37981,0,-2
37990,-13,-13
37991,1,2
38000,0,0
38001,-11,-11
38010,2,2
38011,10,-20
38020,-11,-11
38021,1,1
38030,-11,-11
38031,11,11
38040,10,10
38041,-11,-2
38050,1,1
38051,1,1
38060,-11,-11
38061,1,2
38070,-11,-11
38071,-11,1
38080,2,2
38081,-11,-11
38090,11,11
38091,-11,-11
38100,-13,-13
38101,1,1
38110,1,-11
38111,1,1
38120,-11,-11
38121,1,1
38130,-13,0
38131,-11,0
38140,1,-2
38141,-11,-2
38150,0,-20
38151,-11,-11
38160,1,2
38161,1,1
38170,1,1
38171,-13,-13
38180,1,0
38181,1,1
38190,1,-2
38191,0,0
38200,11,11
38201,1,1
38210,2,-2
38211,10,10
38220,11,11
38221,0,1
38230,10,-2
38231,-11,-11
38240,11,-2
38241,2,2
38250,2,1
38251,-11,-11
38260,2,2
38261,0,-20
38270,-13,-13
38271,2,2
38280,1,1
38281,0,0
38290,0,-20
38291,-13,-13
38300,-11,-2
38301,2,2
38310,1,1
38311,1,-2
38320,1,1
38321,1,1
38330,10,10
38331,1,1
38340,-13,-13
38341,-13,-13
38350,2,2
38351,-11,-11
38360,-13,-13
38361,-13,-13
38370,-11,-11
38371,1,-13
38380,-11,2
38381,-11,-11
38390,-11,-11
38391,-11,-11
38400,3,3
38401,0,0
38410,-11,-11
38411,-13,-2
38420,2,2
38421,-13,-13
38430,10,10
38431,1,-2
38440,10,-20
38441,-13,-13
38450,0,0
38451,-13,-13
38460,1,1
38461,1,-2
38470,1,1
38471,1,1
38480,-11,-2
38481,-1,-20
38490,2,2
38491,-11,-2
38500,-13,-13
38501,11,11
38510,-13,-13
38511,-13,-13
38520,1,1
38521,2,2
38530,10,10
38531,10,10
38540,2,2
38541,-11,-11
38550,-11,-11
38551,0,0
38560,1,1
38561,10,10
38570,1,-2
38571,1,-2
38580,1,1
38581,-11,-2
38590,-13,-13
38591,2,2
38600,-11,-11
38601,2,2
38610,-11,-11
38611,1,1
38620,1,1
38621,1,1
38630,2,2
38631,-13,-13
38640,1,1
38641,0,0
38650,-13,-13
38651,0,0
38660,10,-11
38661,1,1
38670,2,2
38671,0,-2
38680,-13,-13
38681,0,-2
38690,0,0
38691,-13,-13
38700,0,0
38701,-11,-11
38710,10,-2
38711,1,1
38720,1,1
38721,10,10
38730,-13,-13
38731,-11,-11
38740,11,1
38741,-11,-11
38750,10,11
38751,0,0
38760,-11,-11
38761,1,-20
38770,-11,-11
38771,-11,-2
38780,1,-20
38781,-13,-13
38790,0,0
38791,0,1
38800,-11,-2
38801,-13,-13
38810,1,1
38811,-11,-11
38820,0,0
38821,1,1
38830,4,3
38831,10,10
38840,-13,-13
38841,-11,-11
38850,1,2
38851,1,1
38860,0,-2
38861,1,0
38870,11,-2
38871,0,0
38880,1,1
38881,0,0
38890,-13,-2
38891,-13,-13
38900,-11,-11
38901,1,1
38910,10,10
38911,11,11
38920,-11,-11
38921,-13,-13
38930,2,1
38931,1,2
38940,1,1
38941,-13,-2
38950,2,2
38951,-11,-2
38960,-11,-11
38961,1,1
38970,1,-2
38971,1,1
38980,-13,0
38981,-11,-11
38990,1,1
38991,-11,-11
39000,-13,-13
39001,10,10
39010,0,0
39011,1,1
39020,-13,-13
39021,-11,-2
39030,1,-2
39031,-13,-13
39040,0,-20
39041,1,-2
39050,3,4
39051,3,3
39060,2,-2
39061,-11,-2
39070,-11,-11
39071,1,1
39080,1,1
39081,0,0
39090,2,2
39091,-11,-11
39100,1,-2
39101,-11,-2
39110,-11,-11
39111,2,2
39120,0,0
39121,1,1
39130,0,-20
39131,-13,-13
39140,1,-2
39141,2,2
39150,1,1
39151,2,2
39160,0,0
39161,11,11
39170,-13,-13
39171,11,11
39180,11,-13
39181,0,0
39190,-11,-11
39191,12,-2
39200,10,-20
39201,2,1
39210,-13,-13
39211,0,0
39220,-13,-13
39221,-13,-13
39230,10,-2
39231,-11,-11
39240,0,3
39241,0,-11
39250,1,-11
39251,-13,-13
39260,11,-1
39261,0,0
39270,0,0
39271,10,10
39280,-13,0
39281,0,0
39290,1,3
39291,3,3
39300,0,0
39301,1,1
39310,-13,-13
39311,-13,-13
39320,11,-2
39321,0,0
39330,1,1
39331,1,1
39340,-11,-11
39341,1,1
39350,-11,-11
39351,-11,-11
39360,-13,-13
39361,1,1
39370,-13,-13
39371,10,10
39380,-13,-13
39381,2,2
39390,-11,-2
39391,-11,-2
39400,10,-2
39401,-13,-2
39410,2,2
39411,0,0
39420,1,-2
39421,-13,0
39430,11,12
39431,1,1
39440,-11,-11
39441,-11,-11
39450,10,10
39451,-13,-13
39460,1,1
39461,10,10
39470,1,2
39471,-11,-11
39480,1,-2
39481,1,-2
39490,1,2
39491,1,1
39500,-11,-11
39501,2,2
39510,1,1
39511,-11,-11
39520,10,-11
39521,10,-2
39530,0,-2
39531,2,1
39540,12,13
39541,-13,-2
39550,1,-2
39551,0,0
39560,0,-20
39561,2,2
39570,0,0
39571,-13,-13
39580,10,-11
39581,0,0
39590,-11,-11
39591,-11,-11
39600,0,0
39601,-13,-2
39610,10,-20
39611,10,-2
39620,-11,-11
39621,-11,-11
39630,1,1
39631,-11,-11
39640,-13,-13
39641,-13,-13
39650,10,10
39651,10,-1
39660,-13,-13
39661,-11,1
39670,-13,-13
39671,2,-13
39680,2,1
39681,-13,0
39690,2,2
39691,-11,-11
39700,1,1
39701,-11,-11
39710,1,-2
39711,-11,-11
39720,-13,-13
39721,1,1
39730,0,0
39731,1,1
39740,11,-2
39741,0,0
39750,10,10
39751,-11,-11
39760,-13,-13
39761,-11,-11
39770,10,10
39771,0,0
39780,11,-2
39781,2,4
39790,-11,-11
39791,1,-20
39800,2,2
39801,0,0
39810,2,1
39811,3,4
39820,-11,-11
39821,-13,-13
39830,0,0
39831,-11,-11
39840,-13,-13
39841,1,1
39850,1,1
39851,10,-2
39860,-11,-11
39861,0,0
39870,1,1
39871,1,1
39880,-13,-13
39881,0,-20
39890,11,11
39891,-13,-13
39900,1,-20
39901,-13,-13
39910,10,1
39911,-13,-13
39920,-11,-11
39921,2,1
39930,-11,2
39931,0,3
39940,1,2
39941,0,-2
39950,1,1
39951,1,1
39960,2,3
39961,2,2
39970,0,-20
39971,-13,-13
39980,-11,-11
39981,-13,-13
39990,11,-11
39991,1,1
40000,0,0
40001,10,-2
40010,0,0
40011,2,3
40020,-11,-11
40021,10,10
40030,-11,-11
40031,11,-2
40040,-13,-13
40041,1,-20
40050,10,-20
40051,11,-2
40060,1,1
40061,-13,-13
40070,1,-20
40071,-13,-13
40080,1,1
40081,10,11
40090,10,10
40091,-11,-11
40100,0,-20
40101,-11,1
40110,-13,-2
40111,10,-2
40120,1,1
40121,-13,-13
40130,1,1
40131,2,2
40140,11,11
40141,11,-2
40150,0,0
40151,1,2
40160,11,-20
40161,-11,-11
40170,0,0
40171,10,10
40180,1,-2
40181,-11,-11
40190,1,1
40191,-13,-13
40200,-13,0
40201,2,-13
40210,0,-2
40211,-11,-11
40220,1,1
40221,-13,-2
40230,-13,-13
40231,-13,-13
40240,-11,-2
40241,-11,-11
40250,1,1
40251,0,0
40260,-11,-11
40261,-13,0
40270,2,3
40271,1,1
40280,-13,-13
40281,2,2
40290,-11,-11
40291,1,1
40300,-11,-11
40301,1,1
40310,2,2
40311,1,2
40320,-13,0
40321,-13,-13
40330,1,1
40331,11,11
40340,-13,-13
40341,1,2
40350,-11,-11
40351,12,-20
40360,1,1
40361,11,11
40370,1,1
40371,11,4
40380,1,1
40381,-11,-11
40390,-11,-11
40391,-11,-11
40400,10,-2
40401,2,2
40410,-13,-13
40411,-11,-11
40420,-11,-2
40421,-13,-13
40430,10,-13
40431,-13,-13
40440,1,1
40441,-13,-13
40450,10,-20
40451,1,1
40460,-13,-2
40461,-13,-2
40470,-13,-13
40471,-11,-11
40480,-11,-11
40481,0,-2
40490,1,1
40491,0,0
40500,0,0
40501,2,2
40510,2,3
40511,12,12
40520,-13,0
40521,2,-2
40530,0,0
40531,-13,-13
40540,10,10
40541,-13,-13
40550,-13,-13
40551,0,0
40560,1,1
40561,1,1
40570,-13,-13
40571,10,-2
40580,1,1
40581,-11,-11
40590,0,0
40591,0,0
40600,0,-2
40601,12,-2
40610,2,2
40611,1,1
40620,10,10
40621,11,11
40630,0,0
40631,-13,-13
40640,-11,-2
40641,1,2
40650,-11,-11
40651,10,-2
40660,1,-11
40661,-11,-11
40670,3,3
40671,-11,-2
40680,0,0
40681,1,1
40690,-11,-11
40691,1,1
40700,1,1
40701,1,1
40710,-13,-13
40711,1,1
40720,-11,-11
40721,1,1
40730,11,12
40731,-13,-13
40740,1,1
40741,1,1
40750,0,1
40751,0,0
40760,10,10
40761,1,1
40770,11,12
40771,0,0
40780,1,1
40781,-11,-11
40790,0,0
40791,10,-2
40800,-13,-13
40801,2,-20
40810,1,1
40811,-13,-13
40820,-11,-2
40821,-11,-11
40830,10,-20
40831,1,0
40840,1,-2
40841,1,1
40850,-11,-11
40851,-11,1
40860,-11,-11
40861,1,2
40870,-11,-11
40871,-13,-13
40880,1,1
40881,0,1
40890,-13,-13
40891,-13,-13
40900,2,2
40901,-13,-13
40910,-13,-13
40911,0,0
40920,1,2
40921,1,1
40930,10,10
40931,-11,-2
40940,11,11
40941,10,-2
40950,-13,-13
40951,10,10
40960,0,0
40961,1,1
40970,1,1
40971,1,1
40980,2,-2
40981,-11,-11
40990,1,-11
40991,1,1
41000,10,10
41001,1,1
41010,-11,-11
41011,2,2
41020,11,11
41021,1,1
41030,1,-20
41031,2,2
41040,-11,-11
41041,10,-1
41050,2,2
41051,2,-11
41060,2,2
41061,2,-13
41070,-13,0
41071,10,-2
41080,11,-20
41081,10,10
41090,2,2
41091,2,2
41100,-13,-13
41101,-11,-11
41110,2,-20
41111,0,0
41120,1,2
41121,-13,-13
41130,1,3
41131,1,1
41140,-11,-11
41141,11,11
41150,10,-20
41151,-13,-13
41160,1,1
41161,0,0
41170,10,10
41171,-11,-11
41180,1,1
41181,-13,-13
41190,0,0
41191,2,-13
41200,11,11
41201,1,1
41210,-11,-2
41211,0,0
41220,-13,-13
41221,1,4
41230,-13,-13
41231,11,-20
41240,-13,-13
41241,-11,-11
41250,11,-2
41251,0,-20
41260,0,0
41261,11,-2
41270,0,-11
41271,-13,-13
41280,1,1
41281,2,2
41290,0,0
41291,1,1
41300,11,12
41301,-11,-11
41310,-13,-13
41311,2,-13
41320,0,1
41321,0,-2
41330,1,1
41331,2,1
41340,-11,1
41341,-11,-11
41350,-13,-13
41351,-13,-13
41360,1,1
41361,-11,-2
41370,-11,-11
41371,10,-2
41380,-13,-13
41381,10,-2
